id,name,category_id,description,price,homepage,image
27,Panca portatutto bianca e cuscino colorato in lino L 130 cm,11,"Il banco portatutto COMPTOIR DES EPICES è un mobile davvero geniale, ricco di fascino! Ispirato allo stile antico, può essere utilizzato come panca o soluzione contenitiva. Questo banco portatutto bianco, ricco di grande fascino, si rivela estremamente pratico!",19900,0,cassapanche3.jpg
28,Panca portatutto in legno e cotone L 103 cm,11,"Estetico e pratico al tempo stesso, il banco portatutto in legno ELOÏSE si rivela estremamente utile per riporre i giochi dei bambini o nascondere i tesori più preziosi. Particolarmente decorativa grazie a una mano di vernice naturale, questa soluzione contenitiva aiuta a fare ordine, secondo l'ispirazione del momento. Ideale nell'ambiente di casa, questa graziosa consolle portatutto in legno infonde calore e orna qualsiasi stanza.",17990,0,cassapanche4.jpg
29,Tavola per sala da pranzo L200,12,Questa tavola da pranzo ORIGAMI ovale creerà un'atmosfera luminosa con il legno biondo.,39900,0,tavolidapranzo1.jpg
30,Tavolo da pranzo allungabile 6 a 10 persone bianco L 150/220 cm,12,"Moderna e intelligente, questa tavola da pranzo bianca si allunga in caso d'invitati imprevisti.",26000,0,tavolidapranzo2.jpg
31,Tavolo stile industriale per sala da pranzo in abete e metallo L 140 cm,12,"Stile industrial, ma a prezzi ragionevoli con questa tavola in metallo e legno chiaro DOCKS.",14900,0,tavolidapranzo3.jpg
32,Tavolo per sala da pranzo in massello di legno di sheesham L 180 cm,12,Questo grande tavolo da pranzo semplice e moderno ti farà riscoprire la bellezza del legno di sheesham massiccio.,48900,1,tavolidapranzo4.jpg
33,Scrivania vintage 2 cassetti,13,"Sobria e intramontabile, questa scrivania in legno chiaro adotta il minimalismo dello stile nordico.",22900,0,scrivanie1.jpg
34,Scrivania vintage in massello di mango L 115 cm,13,"Sobria e pulita, questa scrivania in legno di mango massiccio dispone di un bel piano di lavoro. Montata su una base di metallo, questa scrivania moderna è completata da 2 cassetti in metallo e da un vano centrale per i tuoi oggetti.",29900,0,scrivanie2.jpg
35,Scrivania vintage bianca,13,"Montata su piedi di abete sbiancato, questa scrivania bianca darà un grazioso tocco luminoso alla camera del tuo bambino.",19900,0,scrivanie3.jpg
36,Scrivania bianca a 1 cassetto in metallo,13,"Con la scrivania bianca in metallo IGLOO, lo stile contemporaneo non è mai a corto d'idee quando si tratta di vestire gli interni in tutta semplicità!",15900,0,scrivanie4.jpg
37,Guardaroba in mango L 190 cm,14,"Se desiderate un arredo della camera in stile naturale, lasciatevi sedurre dal fascino autentico dell'appendiabiti in legno biaccato Persiennes.",199000,0,armadi1.jpg
38,Guardaroba bianco in legno L 170 cm,14,"Completamente bianco, questo grande guardaroba in legno darà un tocco di freschezza alla tua camera da letto. Per contenere tutti i tuoi abiti e la tua biancheria, questo guardaroba è dotato di una parte appendiabiti al centro e di una parte per la biancheria alle estremità, per un totale di 6 ripiani fissi.",119000,0,armadi2.jpg
39,Guardaroba ad armadietto in metallo L 120 cm,14,"Ispirato al design industriale, questo guardaroba in metallo darà un tocco di modernità alla tua camera. Al suo interno questo guardaroba a 3 porte è dotato di 2 parti appendiabiti con un ripiano fisso e una parte biancheria con 4 ripiani fissi.",39900,0,armadi3.jpg
40,Guardaroba vintage in massello di quercia,14,"Questa rivisitazione di un guardaroba vintage è tanto estetica quanto capiente. Sobrio e funzionale, questo guardaroba di legno possiede 2 sbarre e 3 mensole amovibili oltre a una mensola fissa.",99900,0,armadi4.jpg
41,Scaffale stile industriale in abete e metallo grigio antracite,15,"Sobrio e moderno, questo scaffale stile industriale in abete e metallo grigio antracite STATEN ti offre 5 mensole per organizzare gli oggetti del salotto. Con la sua struttura in metallo, questo scaffale di legnovalorizzerà le tue stoviglie e i tuoi oggetti decorativi. Potrai anche farne una biblioteca adatta a qualsiasi tipo d'interni. Nello stesso stile, scopri anche lo scaffale con rotelle industrial Brooklyn.",9999,1,scaffali1.jpg
42,Scaffale stile industriale in abete massiccio e metallo,15,"Per arredare un salotto dallo stile contemporaneo ed elegante, scegliete il magnifico scaffale LONG ISLAND dal design industriale di grande tendenza. Questo scaffale in legno dalle linee semplici vanta ripiani dall'aspetto decapato e due cassetti nella parte inferiore, per un mobile moderno originale e pratico. Per completare l'arredo di un ambiente urbano, scoprite il mobile TV.",29900,0,scaffali2.jpg
43,4 scaffali da parete vintage in legno multicolore L 25 à L100 cm,15,Tinte tenui per questi 4 scaffali murali che si riveleranno praticissimi per sistemare i tuoi oggetti.,9999,0,scaffali3.jpg
44,Scaffale in massello di legno di sheesham,15,"Ispirato all’arte di vivere nordica, lo scaffale STOCKHOLM crea un'atmosfera zen e accogliente nei vostri interni.",69900,0,scaffali4.jpg
45,Colonna libreria bianca in legno H 192 cm,16,Ora non avrete più scuse per lasciare in disordine i vostri libri grazie alla colonna libreria bianca Osaka.,9999,0,libreria1.jpg
46,Libreria vintage multicolore,16,"Con i suoi pannelli colorati sullo sfondo, questa biblioteca vintage multicolore TWIST aggiungerà una nota vivace al tuo salotto.",11000,1,libreria2.jpg
47,Libreria a 3 ante e 6 cassetti in pino riciclato,16,"I libri si accumulano e il tuo salotto è strapieno? Opta per la libreria a 3 ante e 6 cassetti in legno di pino riciclato BOTANICA! Sono innumerevoli le funzioni di questo mobile contenitore caldo e autentico. Non sei un grande amante della lettura? Gli scaffali di questa libreria in legno di pino massello ti permetteranno di esporre i tuoi souvenir da viaggio e i tuoi oggetti d'arredo preferiti. Installato in una cucina, potrà accogliere anche tutte le tue stoviglie!",129000,0,libreria3.jpg
48,Libreria stile industriale in massello di mango L 110 cm,16,"Pratica per mettere ordine in salotto, questa libreria moderna offre diversi scaffali in metallo e legno dipinto. Concepita in legno di mango massiccio, questa libreria si sposa perfettamente a mobili industriali.",75500,0,libreria4.jpg
